iter	Logloss
0	0.569402932
1	0.4723235663
2	0.4421326317
3	0.4228505723
4	0.4092600406
5	0.3988323309
6	0.3867299457
7	0.3717046498
8	0.3665142332
9	0.3639934285
10	0.3595686736
11	0.3538636227
12	0.3518488897
13	0.3493135701
14	0.3465607502
15	0.3436050355
16	0.3407550441
17	0.3380607313
18	0.3348151372
19	0.3309449802
20	0.3262418041
21	0.3231507889
22	0.3194933554
23	0.3157049725
24	0.3129634213
25	0.307307826
26	0.303033072
27	0.3000262684
28	0.2967902343
29	0.295036907
30	0.2929946103
31	0.2921621795
32	0.2911514353
33	0.2906716509
34	0.2893945879
35	0.2878523954
36	0.2868014988
37	0.2861100987
38	0.2837248959
39	0.2832470889
40	0.2817762445
41	0.2807183942
42	0.2792353986
43	0.2778556297
44	0.2760574822
45	0.2752879243
46	0.2745087915
47	0.2729350205
48	0.2714732037
49	0.2708268738
50	0.2690513233
51	0.2686201531
52	0.2655633107
53	0.2618947273
54	0.2598428106
55	0.2584085733
56	0.2558280912
57	0.2541011092
58	0.2537494808
59	0.2529063327
60	0.2510465963
61	0.249646163
62	0.2486972282
63	0.2475976688
64	0.2468467009
65	0.2458214598
66	0.2452293058
67	0.2439135272
68	0.2436162828
69	0.2422248482
70	0.2404980063
71	0.2402083128
72	0.2392032829
73	0.2382224775
74	0.2371408304
75	0.2364531003
76	0.2344506981
77	0.2327455904
78	0.2320634294
79	0.2304294262
80	0.2286976936
81	0.2267349078
82	0.2258189013
83	0.2245068325
84	0.2231638871
85	0.2225781805
86	0.2219202092
87	0.221159046
88	0.2205629831
89	0.2193927375
90	0.218995968
91	0.2185396581
92	0.2175653116
93	0.2168037305
94	0.2159712349
95	0.2147908745
96	0.2138460467
97	0.2128330756
98	0.2125804136
99	0.2114029552
100	0.2106639399
101	0.2102994385
102	0.2097914098
103	0.2093556067
104	0.2091874834
105	0.2086360061
106	0.2082020487
107	0.2073531686
108	0.2071221717
109	0.2062869414
110	0.2054617442
111	0.2050827531
112	0.2049408098
113	0.2041124303
114	0.2033839431
115	0.2028119332
116	0.2024008573
117	0.2023049924
118	0.2019932023
119	0.2013201855
120	0.2009075312
121	0.20056626
122	0.2001165239
123	0.2000106019
124	0.199829214
125	0.1997965912
126	0.1995629675
127	0.1993496561
128	0.1993029134
129	0.19903252
130	0.198403626
131	0.1982782661
132	0.1978898716
133	0.1972587775
134	0.1968093566
135	0.1966112236
136	0.196029236
137	0.1958824084
138	0.1957838197
139	0.195400848
140	0.1948598474
141	0.1946739228
142	0.1943670711
143	0.1942939266
144	0.194223039
145	0.1941003051
146	0.1939759082
147	0.1936547461
148	0.1934996891
149	0.1934012687
150	0.1932416075
151	0.1926463692
152	0.1923196083
153	0.1922431881
154	0.1920806051
155	0.1916320662
156	0.1913810331
157	0.1911646691
158	0.1910450619
159	0.1907084278
160	0.1904086572
161	0.1902596609
162	0.1900604535
163	0.1899223312
164	0.1898594024
165	0.1898205453
166	0.1897852249
167	0.1896658599
168	0.1895565358
169	0.1895222042
170	0.1893731404
171	0.1893236915
172	0.1891283188
173	0.1889664731
174	0.1887797506
175	0.1887330259
176	0.1885987335
177	0.1885429027
178	0.1883766194
179	0.1882993506
180	0.1881121228
181	0.1879782635
182	0.1879284645
183	0.1878458205
184	0.1878068829
185	0.1876689235
186	0.1876274185
187	0.1875321134
188	0.1873019363
189	0.1870317548
190	0.1868463715
191	0.1866368039
192	0.1865191421
193	0.186421166
194	0.1862160927
195	0.1861718724
196	0.1860401834
197	0.1860173209
198	0.1859876337
199	0.185888784
200	0.1856985383
201	0.1855595459
202	0.1853393197
203	0.185275076
204	0.1852366459
205	0.1851680053
206	0.1851420791
207	0.1850176185
208	0.1849100554
209	0.1848237095
210	0.1847597718
211	0.1846629686
212	0.184640108
213	0.1845590515
214	0.1844590513
215	0.1843803086
216	0.1843511985
217	0.1843230786
218	0.1842189547
219	0.1841174578
220	0.1839982266
221	0.1837349087
222	0.1836735232
223	0.1835768339
224	0.1835089494
225	0.183463144
226	0.1833930185
227	0.1833009762
228	0.183277434
229	0.183248712
230	0.182982051
231	0.182827079
232	0.1827060089
233	0.1826660609
234	0.182637624
235	0.1823728787
236	0.1823455407
237	0.182174383
238	0.1821501414
239	0.182110681
240	0.1820172876
241	0.1818639821
242	0.1816536636
243	0.1816089318
244	0.1815659271
245	0.1814189638
246	0.18124765
247	0.181181355
248	0.180993341
249	0.1809637419
250	0.1809410272
251	0.1808526241
252	0.1807846126
253	0.1807273146
254	0.1806289444
255	0.1805343301
256	0.1804021872
257	0.180250764
258	0.1802357732
259	0.1802143814
260	0.1801755233
261	0.1799605836
262	0.1797821076
263	0.1796395348
264	0.1796114417
265	0.1795853509
266	0.1795577743
267	0.1794971132
268	0.1794763436
269	0.1794088164
270	0.1793562197
271	0.1792682831
272	0.1792176214
273	0.1791976015
274	0.1791200084
275	0.1790831069
276	0.1789723313
277	0.178944363
278	0.1788981984
279	0.1788719118
280	0.1788220585
281	0.1788087008
282	0.1787893904
283	0.1787690902
284	0.1787183598
285	0.1786231211
286	0.178483643
287	0.1783689536
288	0.1782753653
289	0.1782586379
290	0.1782109122
291	0.1781925319
292	0.1781262892
293	0.1780864664
294	0.1780370005
295	0.1779936529
296	0.1779414537
297	0.177923863
298	0.1778981832
299	0.1778620001
300	0.177843934
301	0.1778310895
302	0.1777805272
303	0.1777620473
304	0.1777380451
305	0.1776241241
