iter	Passed	Remaining
0	32	32419
1	56	28035
2	79	26375
3	101	25231
4	124	24729
5	146	24224
6	168	23954
7	192	23924
8	215	23733
9	237	23483
10	261	23544
11	284	23427
12	307	23341
13	329	23204
14	353	23200
15	378	23271
16	400	23150
17	423	23098
18	447	23103
19	472	23176
20	499	23266
21	522	23228
22	548	23288
23	573	23326
24	597	23290
25	622	23317
26	648	23360
27	675	23445
28	699	23430
29	728	23552
30	753	23546
31	776	23501
32	802	23505
33	823	23404
34	860	23712
35	899	24083
36	932	24274
37	965	24431
38	991	24424
39	1014	24351
40	1036	24233
41	1061	24201
42	1083	24124
43	1111	24156
44	1134	24069
45	1157	24009
46	1182	23968
47	1205	23917
48	1229	23871
49	1253	23822
50	1278	23781
51	1302	23737
52	1326	23697
53	1352	23701
54	1377	23675
55	1403	23665
56	1427	23620
57	1450	23562
58	1474	23522
59	1497	23458
60	1519	23392
61	1545	23375
62	1569	23349
63	1593	23301
64	1615	23239
65	1639	23199
66	1661	23143
67	1686	23108
68	1710	23081
69	1733	23031
70	1756	22985
71	1777	22914
72	1800	22867
73	1822	22810
74	1845	22761
75	1869	22724
76	1893	22693
77	1917	22665
78	1941	22634
79	1966	22618
80	1991	22590
81	2015	22564
82	2038	22519
83	2063	22505
84	2087	22468
85	2110	22428
86	2136	22418
87	2160	22394
88	2184	22361
89	2207	22324
90	2230	22280
91	2253	22238
92	2276	22200
93	2301	22182
94	2325	22149
95	2350	22137
96	2375	22115
97	2399	22087
98	2423	22059
99	2447	22027
100	2472	22005
101	2496	21978
102	2520	21949
103	2544	21919
104	2567	21885
105	2592	21863
106	2617	21841
107	2643	21829
108	2667	21801
109	2692	21786
110	2717	21762
111	2740	21732
112	2765	21708
113	2788	21674
114	2815	21667
115	2840	21648
116	2864	21616
117	2886	21574
118	2909	21539
119	2934	21522
120	2961	21515
121	2984	21479
122	3009	21457
123	3032	21421
124	3056	21396
125	3079	21363
126	3104	21340
127	3128	21311
128	3151	21280
129	3178	21270
130	3203	21251
131	3225	21210
132	3251	21193
133	3277	21179
134	3304	21171
135	3333	21177
136	3358	21154
137	3381	21123
138	3405	21094
139	3429	21064
140	3454	21045
141	3479	21021
142	3506	21013
143	3530	20988
144	3556	20971
145	3583	20961
146	3606	20928
147	3631	20907
148	3655	20879
149	3679	20851
150	3715	20888
151	3740	20867
152	3765	20848
153	3790	20825
154	3816	20804
155	3842	20790
156	3869	20778
157	3894	20756
158	3918	20725
159	3944	20706
160	3970	20689
161	3995	20666
162	4017	20631
163	4041	20602
164	4065	20572
165	4089	20544
166	4113	20518
167	4136	20487
168	4160	20456
169	4184	20431
170	4208	20401
171	4231	20370
172	4253	20333
173	4277	20304
174	4300	20274
175	4324	20244
176	4348	20218
177	4370	20184
178	4393	20153
179	4418	20126
180	4443	20107
181	4470	20094
182	4498	20084
183	4524	20065
184	4554	20065
185	4580	20045
186	4607	20031
187	4637	20031
188	4665	20020
189	4693	20008
190	4718	19984
191	4744	19967
192	4770	19947
193	4798	19934
194	4824	19915
195	4848	19889
196	4876	19875
197	4899	19846
198	4924	19821
199	4950	19801
200	4975	19779
201	4999	19751
202	5025	19732
203	5053	19718
204	5098	19771
205	5121	19740
206	5147	19718
207	5174	19702
208	5200	19682
209	5223	19651
210	5248	19625
211	5272	19597
212	5295	19565
213	5318	19535
214	5342	19505
215	5365	19475
216	5390	19451
217	5414	19421
218	5437	19390
219	5460	19358
220	5483	19329
221	5507	19299
222	5530	19270
223	5553	19238
224	5575	19206
225	5598	19174
226	5621	19141
227	5645	19114
228	5668	19085
229	5692	19057
230	5716	19030
231	5741	19006
232	5766	18983
233	5790	18955
234	5812	18922
235	5837	18898
236	5862	18872
237	5887	18848
238	5910	18819
239	5935	18795
240	5959	18768
241	5984	18745
242	6009	18721
243	6033	18694
244	6057	18667
245	6080	18638
246	6103	18607
247	6127	18579
248	6150	18551
249	6176	18528
250	6200	18501
251	6224	18474
252	6246	18443
253	6271	18419
254	6294	18390
255	6318	18363
256	6342	18336
257	6366	18310
258	6390	18282
259	6413	18253
260	6437	18226
261	6460	18198
262	6487	18181
263	6513	18158
264	6539	18136
265	6563	18111
266	6588	18086
267	6613	18062
268	6637	18037
269	6660	18008
270	6686	17987
271	6713	17967
272	6742	17955
273	6769	17936
274	6795	17914
275	6820	17890
276	6845	17867
277	6868	17839
278	6895	17819
279	6923	17802
280	6947	17775
281	6970	17747
282	6996	17725
283	7020	17700
284	7046	17677
285	7071	17654
286	7098	17635
287	7124	17613
288	7156	17606
289	7181	17581
290	7206	17558
291	7231	17534
292	7258	17515
293	7284	17492
294	7310	17470
295	7336	17449
296	7361	17425
297	7386	17400
298	7412	17378
299	7436	17352
300	7461	17327
301	7484	17299
302	7510	17275
303	7534	17249
304	7559	17225
305	7584	17201
306	7609	17176
307	7632	17148
308	7657	17123
309	7681	17097
310	7705	17071
311	7730	17046
312	7754	17020
313	7779	16996
314	7803	16969
315	7826	16941
316	7852	16919
317	7878	16896
318	7902	16871
319	7929	16850
320	7954	16825
321	7979	16801
322	8004	16776
323	8027	16749
324	8052	16724
325	8076	16698
326	8101	16674
327	8127	16650
328	8151	16624
329	8177	16601
330	8202	16578
331	8228	16555
332	8252	16530
333	8276	16503
334	8298	16473
335	8322	16447
336	8347	16423
337	8372	16398
338	8396	16372
339	8421	16347
340	8446	16323
341	8473	16302
342	8499	16279
343	8523	16255
344	8549	16230
345	8573	16206
346	8598	16180
347	8624	16158
348	8650	16135
349	8672	16106
350	8697	16082
351	8722	16057
352	8748	16034
353	8772	16008
354	8809	16005
355	8832	15978
356	8856	15951
357	8882	15928
358	8905	15901
359	8929	15874
360	8952	15847
361	8977	15821
362	9001	15795
363	9025	15769
364	9049	15743
365	9076	15721
366	9102	15699
367	9144	15704
368	9169	15680
369	9197	15659
370	9223	15636
371	9251	15617
372	9275	15592
